case,period,origin
Athens,pre-industrial,"(23.729297894645065, 37.977742321097296)"
Brugge,pre-industrial,"(3.222135599564842, 51.20663413385126)"
Havana,pre-industrial,"(-82.35387869733259, 23.137058811383366)"
Kyoto,pre-industrial,"(135.77513789847612, 35.00441991880096)"
Nuremberg,pre-industrial,"(11.080741895925831, 49.4558122318182)"
Pavia,pre-industrial,"(9.155202505665285, 45.18542787308676)"
Recife,pre-industrial,"(-34.87950134898907, -8.066819977715335)"
Barcelona,industrial,"(2.1599658311051333, 41.39207228345335)"
Brisbane,industrial,"(153.00890689998246, -27.483072513877765)"
Buenos Aires,industrial,"(-58.37436109734774, -34.618526518125655)"
Chicago,industrial,"(-87.6496541987247, 41.91601382423912)"
De Pijp,industrial,"(4.890787, 52.353532)"
Paris,industrial,"(2.3036982060349636, 48.86864235146261)"
Philadelphia,industrial,"(-75.17713599972483, 39.92784202217783)"
Akademgorodok,modernist,"(83.10742859587872, 54.83929583879922)"
Brasilia,modernist,"(-47.91657209425542, -15.823763507567802)"
Drumul Taberei,modernist,"(26.02122171749766, 44.41721907853648)"
Kilamba,modernist,"(13.273496897999385, -8.998426816984628)"
Marzhan,modernist,"(13.558283202822224, 52.55398573559633)"
Tblisi,modernist,"(44.72275760065603, 41.72302532410621)"
Karvina,modernist,"(18.557418, 49.853861)"
Ciudad Guayana,garden city,"(-62.67209868783639, 8.34826427219966)"
Frohnau,garden city,"(13.277062904022877, 52.631536235815815)"
Hilversum,garden city,"(5.170650196333054, 52.23187803549469)"
Montreal,garden city,"(-73.64192800272671, 45.522340227287295)"
Greenhills,garden city,"(-87.996019, 42.941374)"
Stratton,garden city,"(116.04114530164892, -31.864639316563675)"
Tel Aviv,garden city,"(34.977140396112986, 32.0925043168361)"
Auckland,neo-traditional,"(174.9160552559242, -36.95408615897924)"
Brandevoort,neo-traditional,"(5.62261399486988, 51.46170483425585)"
Cornell Village,neo-traditional,"(-79.23037000333382, 43.88964002638408)"
Kentlands,neo-traditional,"(-77.24424129756238, 39.120324272641994)"
Mueller,neo-traditional,"(-97.70314980255172, 30.292836815637383)"
Miami Lakes,neo-traditional,"(-80.31195, 25.905058)"
Rieselfield,neo-traditional,"(7.792109457726385, 47.99888843253804)"
Abdurahmangazi,informal,"(29.25333679557981, 40.96419132348267)"
Bicentennaire,informal,"(-72.35389200521153, 18.535389208950473)"
Jardim Portal I e II,informal,"(-46.57587250888991, -23.440949292392443)"
Khayeltisha,informal,"(18.655964304683074, -34.02152631858855)"
Kricak,informal,"(110.35677760126997, -7.773518503607216)"
Mafalala,informal,"(32.572846900841455, -25.952561712972226)"
Tandale,informal,"(39.24312098621779, -6.792734470840269)"
Tondo,informal,"(120.9641471044341, 14.616058307179102)"
